,id,created_at,text,hashtags,user_mention_ids,user_mention_screen_names,retweet_count,favorite_count,in_reply_to_user_id,in_reply_to_screen_name,user_id,user_screen_name,user_name,user_friends_count,user_followers_count,user_favourites_count,user_verfied,user_statuses_count,negative,neutral,positive,sentiment_score,sentiment
8527,D8528,2022-07-06 07:21:59,dunkin donut wh,,[],[],0,0,,,1348683424815579140,minecramongus,Minecraft amogus Fan838,5,83,2,False,12701,0.0,1.0,0.0,0.0,neutral
8528,D8529,2022-07-06 07:15:27,didnt know dunkin bomb drink,,[],[],0,0,,,1482586319889244160,carrotminnie,ksm fan 🎀,112,2,1075,False,957,0.39,0.61,0.0,-0.4939,negative
8529,D8530,2022-07-06 07:06:02,yall stop dunkin caus chan like yall dont realiz,,[],[],0,1,,,1321160453930758149,bakurababy,🍓 Ay ☀️🐺🍀,328,226,52330,False,7490,0.112,0.761,0.127,0.0772,positive
8530,D8531,2022-07-06 06:58:40,enjoy ope yer gotta bicci dunkin,,[1474693536],['BarssFreddie'],0,0,1474693536.0,BarssFreddie,4441032257,hopkinson443,MagsyH🌻🌻♥️♥️,1165,1306,62346,False,87957,0.0,0.714,0.286,0.4939,positive
8531,D8532,2022-07-06 06:58:00,thai gener equip 13 115 gt dunkin raptor,basketball thailand tbl,[],[],0,0,,,1543518986767400962,TheSiz1,TheSiz,3,0,46,False,52,0.0,1.0,0.0,0.0,neutral
8532,D8533,2022-07-06 06:55:47,life highway would like get nearest exit get fri dunkin go back bed thank,,[],[],0,1,,,751511161850490880,ahvxley,vitaman cree🏳️‍🌈🇲🇽,362,268,92964,False,5127,0.0,0.833,0.167,0.6124,positive
8533,D8534,2022-07-06 06:50:12,extrem platter sampler 43 goo approov wick kickin mango ranch meati ballz krazi fri tofu flame zone extrem fri molten lava beefi weefi wonton slam dunkin mucho cool pizza lada,,[],[],0,0,,,983726681021071361,goofieri,Goo Fieri's Flaming Fiery Feedbucket,1,15,1,False,35990,0.228,0.699,0.073,-0.7067,negative
8534,D8535,2022-07-06 06:49:47,2 49 im eat donut dunkin donut caus cant sleep,,[],[],0,0,,,1282724635302395908,theimarinicole,I M A R I N I C O L E,99,112,701,False,1537,0.0,1.0,0.0,0.0,neutral
8535,D8536,2022-07-06 06:36:34,dunkin donut tri dunkin donut yet like clair amp treat delici delight 2 pack 2 95 4 pack 4 95 product subject avail,sparossyspecials sparossy spar oswaldtwistle sparuk,[],[],0,1,,,3380226927,spar_ossy,Spar Oswaldtwistle,56,362,170,False,549,0.054,0.691,0.255,0.8349,positive
8536,D8537,2022-07-06 06:34:33,work dunkin donut put roquefort dress hip,,[],[],0,0,,,727039238697443329,realbryn,Bryn Anderson,3,12,0,False,320107,0.0,1.0,0.0,0.0,neutral
8537,D8538,2022-07-06 06:33:48,dunkin excelso,,[1246805274133852160],['mks_fess'],0,0,1.2468052741338522e+18,mks_fess,2343303522,kidrcauhl,a,1086,669,10257,False,54971,0.0,1.0,0.0,0.0,neutral
8538,D8539,2022-07-06 06:31:30,rhode island dunkin say accident offer free coffe white resid huffpost weird news,dumbpeopletown,[36242584],['danielvankirk'],0,0,,,1250707288542736390,hereforthedumb,ashley,14,5,23,False,86,0.183,0.67,0.147,0.0516,positive
8539,D8540,2022-07-06 06:24:31,dunkin deeznut,,[1382629678633013249],['ElPapasFritass'],0,1,1.3826296786330132e+18,ElPapasFritass,1468440321491365889,0xMazoo,mazoo,2746,616,5617,False,4838,0.0,1.0,0.0,0.0,neutral
