created_at,text,hashtags,user_mention_ids,user_mention_screen_names,retweet_count,favorite_count,in_reply_to_user_id,in_reply_to_screen_name,user_id,user_screen_name,user_name,user_friends_count,user_followers_count,user_favourites_count,user_verfied,user_statuses_count
2022-06-16 16:42:30+00:00,Was it Dunkins?,[],"[920809622272851968, 3235615922]","['CrunchyFishTaco', 'KeseysNotion']",0,2,920809622272851968,CrunchyFishTaco,612169192,AldrichPatrick,Patrick Aldrich 🇺🇦🌻,312,186,55061,False,23609
2022-06-16 16:42:28+00:00,Dunkin Donuts Frozen Pineapple Lemonade &gt;&gt;&gt;,[],[],[],0,0,,,3845705441,mw0047,Mamoona🦋,418,155,18374,False,1415
2022-06-16 16:42:17+00:00,"Sorry Whit, the Cardinal is the true patrician train",[],"[148055299, 920361, 119166791, 54231009, 18012427]","['WhitStillman', 'dunkin', 'Amtrak', 'RideRail', 'tufts']",0,0,148055299,WhitStillman,1217999448137183232,SilverVideo,Silver Screen Video,105,398,5917,False,2058
2022-06-16 16:42:05+00:00,Its actually illegal to not get Dunkin every day \_()_/,[],[498091534],['TMolteni'],0,0,498091534,TMolteni,111093165,SoliloquyQueen,Torr,265,337,64890,False,30231
2022-06-16 16:41:25+00:00,mikeybarts Ive been earning at Dunkin - great card boost and the caffeine doesnt hurt either ;),[],[1298770042381897729],['LolliDeals'],0,0,1298770042381897729,LolliDeals,984905065327554560,Niido4,Niido ❄️,217,43,664,False,990
2022-06-16 16:41:22+00:00,"""You cannot go to a 7-11 or a Dunkin' Donuts unless you have a slight Indian accent. I'm not joking,""",[],"[1260589089264488451, 946119746, 818893114979061761]","['RobertJ29339805', 'PatriziaScally', 'JoJoFromJerz']",0,0,114594554,stephgulley,114594554,stephgulley,stephanie gulley,217,53,2315,False,4726
2022-06-16 16:40:23+00:00," Are you dunkin? because i donut want to spend another day without you!  ,",[],[951911530865475584],['blilmey'],0,0,951911530865475584,blilmey,755797549592608768,gantarigh,Gianna. 𖦊ັ,242,302,390,False,4975
2022-06-16 16:40:03+00:00,"Were proud to have a partner like  During this years Dunkin Iced Coffee Day they raised $12,000 to help us to our patients! Thanks to the Dunkin' Joy In Childhood Foundation &amp; the Wolfson Children's community for your hard work! ,","['BringJoy', 'SipIcedBringJoy']",[8771022],['dunkindonuts'],0,2,,,369635681,WolfsonChildren,Wolfson Children's Hospital,1975,4835,3097,True,5735
2022-06-16 16:38:03+00:00,I'm glad you are all right. I have foods I have to watch for too. Did you say anything to the Dunkin' Donuts?,[],[1029741279402487808],['Nosferaboo'],0,0,1029741279402487808,Nosferaboo,1508265230178127879,Picc_NightOwl,LadyNightOwl,72,3,1034,False,318
2022-06-16 16:37:45+00:00,"Okay don't hate me, I've never tried dunkin  Should I? ",[],"[1468687206055387146, 746689902, 8771022]","['adverseabstract', 'NewFreeWill', 'dunkindonuts']",0,0,1468687206055387146,adverseabstract,1323056636907249664,michaila_o,MichailaO,1179,1054,961,False,803
